,,,TEST ADJ - ABOUT DP,,,,TEST ADJ - OF DP BECAUSE S,,,,TEST ADJ - THAT,,,,TEST ADJ - ABOUT GERUND,,,,TEST ADJ - AT…BECAUSE,,,,TEST ADJ - TO VP,,,,"CONTROL - 1, 2, 3 Ns",,,,CONTROL V - TRANSITIVE V,,,,CONTROL NON-EMOT ADJ - GERUND…FOR,,,,CONTROL NON-EMOT ADJ - EXPLETIVE…FOR...TO,,,
5b76febccee87f0001f989ac,inanimate,lexical,helpful,1,0,1,similar,1,0,1,happy,1,1,2,worried,1,1,2,annoyed,1,1,3,fun,1,0,3,Hairclip,1,1,2,stroke,1,1,2,fun,1,0,2,dangerous,1,0,2
61474f07f4cfbc50cb3b2f1e,inanimate,lexical,unhappy,1,1,1,frightened,1,1,1,cool,1,0,1,worried,1,1,1,angry,1,1,1,happy,1,1,1,A pen ,1,1,1,shake,1,1,1,relaxing ,1,0,1,safe ,1,0,1
5e15ab395005ccbab6f991ec,inanimate,lexical,knowledgeable,1,0,3,similar to,1,0,2,informative,1,0,1,wary,1,1,3,annoyed,1,1,3,large,1,0,2,stationary item,1,1,2,move,1,1,3,fun,1,0,3,normal,1,0,2
5ee9193db78df9119fe4f7c1,inanimate,lexical,confident,1,1,2,terrifying ,1,0,3,light ,1,0,1,encouraging ,1,0,3,mysterious,1,0,3,elastic ,1,0,2,special blicket,0,0,1,destroy,1,1,4,fun,1,0,4,dangerous ,1,0,2
5e6a45499afc710a6a279e37,inanimate,lexical,happy,1,1,2,scared,1,1,2,excited,1,1,1,nervous,1,1,2,mad,1,1,3,Made,1,0,1,[blank],n/a,n/a,2,Break,1,1,2,Fun,1,0,2,Bad,1,0,2
58eb63fecd3c5b0001fb6c8b,inanimate,lexical,doesn't like,0,0,1,weary,1,0,1,happy,1,1,2,happy,1,1,1,mad,1,1,2,clever,1,0,1,food,1,0,1,stroke,1,1,1,[blank],n/a,n/a,1,nice,1,0,2
607e90c1f406d76b70d9d8f1,inanimate,lexical,[blank],n/a,n/a,2,scared,1,1,2,hot,1,0,1,skeptical,1,1,2,angry,1,1,2,proneness,1,0,3,food,1,0,1,play,1,1,2,interesting,1,0,2,dangerous,1,0,1
5def85482c54d461f5445b3b,inanimate,lexical,[blank],n/a,n/a,1,scared,1,1,3,happy,1,1,3,anxious,1,1,2,angry,1,1,2,special,1,0,1,pen,1,1,2,stroke,1,1,3,educational,1,0,2,beneficial,1,0,1
63471036ea4370051841008b,inanimate,lexical,Warm,1,0,2,scared,1,1,1,Bright ,1,0,2,scared,1,1,1,Winking,0,0,1,Likely,1,0,2,Objects ,1,1,2,Play,1,1,2,Fun,1,0,3,Wrong,1,0,2
607e4dfa0a78225014b39cdb,inanimate,bleached,annoyed,1,1,2,weary,1,0,2,excited,1,1,3,unhappy,1,1,1,angry,1,1,2,happy,1,1,1,[blank],n/a,n/a,1,[blank],n/a,n/a,1,calming,1,0,2,normal,1,0,2
6101e16e46ab830d098f1436,inanimate,bleached,scared,1,1,1,dependent,1,0,1,aware,1,1,1,useless,1,0,1,helpful,1,0,1,helpful,1,0,3,keyring,1,1,1,hit,1,1,2,fulfilling,1,0,1,normal,1,0,2
61583e5838de2383e5d85e8e,inanimate,bleached,upset,1,1,1,guilty,1,0,1,excited,1,1,2,annoyed,1,1,1,annoyed,1,1,2,Likely,1,0,1,books,1,1,1,rock,1,1,1,Positive,1,0,2,Usual,1,0,1
6393a5d80ff93d7d22b8a69d,inanimate,bleached,givng,0,0,1,useful,1,0,2,necessary,1,0,2,special,1,0,2,damaged,1,0,2,made ,1,0,3,insects,1,1,1,fix/build,1,1,3,good,1,0,3,normal,1,0,4
611d2cb9f380d131ee1a267e,inanimate,bleached,curious,1,0,2,useless,1,0,2,convinced,1,0,1,confused,1,1,1,annoyed,1,1,1,made,1,0,1,hair tye,1,1,1,build,1,1,1,enjoyable,1,0,2,normal,1,0,2
5987579e4875a80001c9a384,inanimate,bleached,Dog ,0,0,2,Useful ,1,0,1,pleased,1,1,2,sad,1,1,2,angry,1,1,3,Comfy ,1,0,2,Blanket ,1,1,1,Walk ,1,1,2,Fun ,1,0,4,Disliked ,1,0,1
5d809dfc0a4791001670efd3,inanimate,bleached,protective,1,0,2,cautious,1,1,2,aware,1,1,2,nervous,1,1,3,mad,1,1,3,hesitant,1,1,3,keys,1,1,1,to break something,1,1,3,relaxing,1,0,3,typical or normal,1,0,4
6151f63958f5eb5b33db9239,inanimate,bleached,happy,1,1,1,New,1,0,1,excited,1,1,2,sad,1,1,2,annoyed,1,1,2,meant,1,0,2,trinket,1,1,1,build,1,1,1,good,1,0,2,typical,1,0,2
60a769bb1797a5ffa3c3d241,inanimate,bleached,Adjective,1,0,2,an example or model,0,0,2,pleased,1,1,2,nervous,1,1,1,annoyed,1,1,2,useful,1,0,2,artifact,1,1,1,"look after, clean maybe?",1,1,1,good,1,0,3,normal,1,0,3
615d8a94a76a15626da937c5,inanimate,bleached,It that it has an emotion,1,1,1,Its made out of something ,1,0,1,concerned,1,1,2,"Fussy, has needs",1,0,2,upset,1,1,2,used to complete a task,0,0,2,Its an item of use ,1,1,2,Interact with ,1,1,1,helpful ,1,0,2,"Normal, known for",1,0,3
5bf0c387f4d94900011c8d7e,inanimate,bleached,wrapped,1,0,1,made of,1,0,1,proof,0,0,1,a reminder,0,0,1,[blank],n/a,n/a,1,perfect,1,0,1,Pen,1,1,1,sweep,1,1,1,good,1,0,1,appropriate,1,0,1
61218e2b5c6a54b79b4849db,inanimate,bleached,related,1,0,2,guilty,1,0,1,groovy,1,0,1,excited,1,1,2,frightened,1,1,3,useful,1,0,2,An item ,1,1,3,stroke,1,1,3,helpful,1,0,2,necessary,1,0,3
5c662b55b91aaf0001e42efb,inanimate,bleached,worried,1,1,1,scared,1,1,1,excited,1,1,1,nervous,1,1,1,angry,1,1,2,meant,1,0,1,[blank],n/a,n/a,1,kill,1,1,1,good,1,0,1,normal,1,0,1
5e8a9b57785373750ff4a8bc,inanimate,bleached,worried,1,1,1,Guilty,1,0,1,happy,1,1,1,happy,1,1,1,angry,1,1,1,shy,1,0,1,Books,1,1,1,Clean,1,1,1,Fun,1,0,1,Normal,1,0,1
60f530c55488cb2191741004,inanimate,bleached,pretty,1,0,1,prickly,1,0,2,confident,1,1,2,happy,1,1,2,angry,1,1,3,happy,1,1,2,tickets? ,1,1,1,hit,1,1,1,calming,1,0,3,normal,1,0,3
63c5bd67335d03371ded0954,inanimate,bleached,tolver?,0,0,1,friend made it and something it does,0,0,2,something is happening,0,0,1,loves to be in a plac,0,0,1,reaction,0,0,2,"tends to do,",1,0,3,some candy,1,0,1,"use, utilise",1,1,1,doing things with bocer is pilky,0,0,2,"special, unique",1,0,1
610946ad260f5704c02f88ec,inanimate,bleached,interesting,1,0,2,[blank],n/a,n/a,1,glad,1,1,2,annoyed,1,1,1,mad,1,1,1,happy,1,1,1,toy,1,1,3,move,1,1,3,good,1,0,3,useful,1,0,2
60fae3023760e4e5489a8c51,inanimate,bleached,dirty,1,0,4,picture,0,0,2,drink,0,0,3,truck,0,0,1,upset,1,1,3,lovely,1,0,4,Blanket,1,1,4,ride,1,1,4,[blank],n/a,n/a,[blank],gummy,1,0,2
60ff3f453a7507c2797c0d52,inanimate,bleached,excited,1,1,1,scared,1,1,1,worried,1,1,1,anxious,1,1,1,angry,1,1,2,able,1,0,1,type of Book,1,1,1,hit,1,1,1,relaxing,1,0,2,dangerous,1,0,2
5cd707bb2e50c90017583e61,inanimate,bleached,crazy,1,1,2,Worthy,1,0,1,positive,1,1,1,worried,1,1,2,angry,1,1,1,Cool,1,0,2,Sweet,1,1,1,Drive,1,1,1,Good,1,0,2,Expected ,1,0,2
5ba81652351c52000158ac0f,inanimate,bleached,happy,1,1,1,scared,1,1,1,excited,1,1,2,excited,1,1,2,angry,1,1,3,Useful ,1,0,2,[blank],n/a,n/a,1,Hit,1,1,2,Healthy,1,0,2,Difficult ,1,0,3
5f0333df099f494ed223e66a,inanimate,bleached,happy,1,1,1,Special,1,0,1,excited,1,1,1,happy,1,1,1,angry,1,1,2,specialized,1,0,1,coins,1,1,1,stoke,1,1,1,Therapeutic,1,0,1,normal,1,0,2
60e0c1641783315b4e6ed5c7,inanimate,bleached,A replica ,0,0,1,Treasured,1,0,1,Showing,0,0,1,A memory ,0,0,3,Broken,1,0,2,Designed ,1,0,1,Something she has,1,0,1,Stroke,1,1,1,Enjoyable,1,0,2,Important,1,0,2
60b8ba78d542997c6da77923,inanimate,bleached,angry,1,1,1,smelly,1,0,1,excited,1,1,2,happy,1,1,1,grumpy,1,1,1,Handy,1,0,3,photos,1,1,1,Lead,1,1,2,Good,1,0,2,Healthy,1,0,2
60c9fcbb6090f57f63cdbebf,inanimate,bleached,excited,1,1,1,worthy,1,0,1,excited,1,1,1,sad,1,1,1,mad,1,1,1,special,1,0,1,pencils,1,1,1,wrap,1,1,1,good,1,0,2,usual,1,0,2
63d13d8fb1dc47968a984070,inanimate,bleached,smug,1,1,2,wary,1,1,1,excited,1,1,3,anxious,1,1,3,mad,1,1,2,Needed,1,0,2,Small trinket or collectible item,1,1,3,Mix,1,1,2,Healthy,1,0,4,Important,1,0,3
5f3e472b3897d202145e3040,inanimate,bleached,annoyed,1,1,1,wary,1,1,2,pleased,1,1,[blank],happy,1,1,2,annoyed,1,1,2,Programmed,1,0,2,Eggs,1,1,1,Cook,1,1,2,Beneficial,1,0,2,Normal,1,0,2
564a08bc6902220012c4b1a1,inanimate,bleached,curious,1,0,1,dependent,1,0,1,excited,1,1,1,dependant,1,0,1,angry,1,1,2,pre-programmed,1,0,2,[blank],n/a,n/a,4,build,1,1,2,comforting,1,0,2,necessary,1,0,3
5e5c62d12e08c94395d291a3,inanimate,bleached,happy,1,1,2,excited,1,1,1,optimistic,1,1,2,nervous,1,1,2,annoyed,1,1,2,helpful,1,0,2,"An item that she likes to carry in her bag, like a ",1,1,2,mop or sweep,1,1,2,relaxing,1,0,2,practical ,1,0,2
636913febcb7369c83a14188,inanimate,bleached,happy,1,1,1,sculpture,0,0,1,excited,1,1,1,fussy,1,0,2,angry,1,1,1,modified,1,0,2,item of clothing,1,1,1,ride,1,1,1,therapeutic,1,0,1,normal,1,0,1
5ff23d181d6cb4710f0bbc63,inanimate,bleached,excited,1,1,1,scared,1,1,2,happy,1,1,2,enjoying being somewhere,0,0,1,mad,1,1,3,designed,1,0,1,maybe a fidget toy,1,1,[blank],stroke or rub,1,1,2,calm,1,1,2,expected or normal,1,0,2
5ead37e98c0ee33cbbe5c14c,inanimate,bleached,angry,1,1,1,Waterproof,1,0,1,scared,1,1,1,scared,1,1,1,angry,1,1,1,happy,1,1,1,books maybe?,1,1,1,poke,1,1,1,Calming,0,0,1,Cool,1,0,1
63d94472927e6eb086a7aa36,inanimate,bleached,sad,1,1,1,upset,1,1,2,surprised,1,1,1,not happy,1,1,3,upset,1,1,3,apprehensive,1,1,1,something special,1,0,3,interact with,1,1,4,fun,1,0,3,normal,1,0,4
5d10afdd98423700019f6fc5,inanimate,bleached,happy,1,1,1,tired,1,0,1,excited,1,1,1,anxious,1,1,1,angry,1,1,3,useful,1,0,4,female sanitary products,1,1,2,write,1,1,1,healthy,1,0,3,normal,1,0,4
63e5285c67584a2d544c62c2,inanimate,bleached,Present,1,0,[blank],bucket,0,0,1,tail wagging,0,0,1,Plant,0,0,1,angry,1,1,2,pillow,0,0,1,item,1,1,1,stroke,1,1,2,Fun,1,0,1,Animal or Child,0,0,2
58bef6fd31de840001e84ba0,inanimate,bleached,unhappy,1,1,1,Compatible,1,0,1,aware,1,1,1,anxious,1,1,1,frightened,1,1,1,Designed,1,0,1,Pens,1,1,1,Paint,1,1,1,Exciting,1,0,1,Unusual,1,0,1
600f4d6f796906128a17d781,inanimate,bleached,good,1,0,2,Smell of something,0,0,2,"moving,movement",0,0,3,excited,1,1,2,looked,0,0,1,aware,1,1,2,[blank],n/a,n/a,1,"attack, confront",1,1,3,good,1,0,2,"normal, weird",1,0,2
5f7e292bc98b530dc2c16c4d,inanimate,bleached,upset,1,1,1,Jumper,0,0,1,scared,1,1,[blank],happy,1,1,1,mad,1,1,2,Good to use,1,0,2,Book,1,1,1,Cut,1,1,1,Fun,1,0,1,Expected ,1,0,1
5f0cfeef098f1e53ff201909,inanimate,bleached,excited,1,1,1,useful ,1,0,1,obvious,1,0,2,nervous,1,1,2,annoyed,1,1,1,excited,1,1,1,small sweets,1,1,1,break,1,1,1,fun,1,0,2,common,1,0,1
5fe292a28fd71dea34d04453,inanimate,bleached,"Something commonly seen as a gift, can be used to describe.",0,0,3,"An item that smells because it has a practical use, hoover, perhaps?",0,0,2,sure,1,1,3,unhappy,1,1,[blank],rough,1,0,[blank],unhappy,1,1,[blank],"A common item, often seen in large quantities, pens etc.",1,1,2,"Hit, shake, open, use, etc. Some form of interaction.",1,1,3,happy,1,1,[blank],"Quirky, usual, typical.",1,0,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
